execucao,tempo
1,4252.074671920971
2,4252.629415590083
3,4267.4285112289945
4,4290.1577205869835
5,4288.88584084902
6,4265.959485773114
7,4246.775965924142
8,4260.25808326609
9,4263.395963424118
10,4269.395255181007
