execucao,tempo
1,8580.600876909011
2,8554.919864098018
3,8566.80691472502
4,8579.716015779006
5,8569.056728283002
6,8565.637367952004
7,8588.066435389977
8,8561.57622545099
9,8566.947477771027
10,8574.815142611013
