execucao,tempo
1,8774.648203761957
2,8785.654487435007
3,8795.31563951401
4,8778.510627340991
5,8777.593028447998
6,8766.972082500986
7,8754.994781713001
8,8749.910032163025
9,8749.726310416998
10,8756.133490952954
